2025-07-31 22:12:30 [INFO]: Initiating new USER DB connection 
2025-07-31 22:16:07 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:07 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:07 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:07 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:08 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:08 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:08 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:08 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:08 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:08 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:09 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:09 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:09 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:09 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:09 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:09 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:10 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:10 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:10 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:10 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:10 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:11 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:11 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:11 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:11 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:11 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:11 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:11 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:12 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:12 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:12 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:12 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:12 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:13 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:13 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:13 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:13 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:14 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:14 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:14 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:23 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:23 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:23 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:23 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:23 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:23 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:24 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:24 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:24 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:24 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:24 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:24 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:29 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:29 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:29 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:29 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:29 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:30 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:30 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:30 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:30 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:30 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:31 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:31 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:31 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:31 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:31 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:32 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:32 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:32 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:32 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:32 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:32 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:33 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:33 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:33 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:33 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:33 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:34 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:34 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:34 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:34 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:34 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:34 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:34 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:35 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:35 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:35 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:36 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:36 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:36 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:36 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:36 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:37 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:47 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:50 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:52 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:16:52 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:20:47 [INFO]: Reusing existing USER DB connection 
2025-07-31 22:38:05 [INFO]: Reusing existing USER DB connection 
